cusno,gender,age,region,trans_id,date,day,product_20,product_21,price_20,price_21,quantity_20,quantity_21,time_20,time_21,amount_20,amount_21,year,month,quarter,age_group
1004,0,28,9,46926,2021-01-10 02:40:34.563456344,Sunday,30,30,19179.0,9442.400000000001,91.0,70.0,9,4,1917900.0,660968.0000000001,2021,1,1,20s
1004,0,28,9,28151,2021-03-23 14:35:10.531053104,Tuesday,30,30,4280.0,26280.100000000002,82.0,3.5,17,1,21400.0,91980.35,2021,3,1,20s
1004,0,28,9,48542,2021-06-29 21:00:50.765076504,Tuesday,30,30,14556.0,18238.0,65.0,39.199999999999996,6,8,815136.0,714929.6,2021,6,2,20s
1005,1,77,2,39177,2020-01-07 17:12:00.432043204,Tuesday,20,20,30942.0,30233.500000000004,51.0,27.72,18,14,2042172.0,838072.6200000001,2020,1,1,70s
1005,1,77,2,33385,2020-01-30 01:21:56.651665166,Thursday,20,20,10478.0,37925.8,51.6,15.959999999999999,11,6,398164.0,605295.768,2020,1,1,70s
1005,1,77,2,30154,2020-07-14 10:34:23.006300630,Tuesday,20,20,25123.0,24600.4,7.8,42.0,3,13,2512300.0,1033216.8,2020,7,3,70s
1005,1,77,2,46813,2021-01-24 11:51:17.227722772,Sunday,20,20,33781.0,12317.800000000001,50.4,8.399999999999999,2,9,675620.0,103469.51999999999,2021,1,1,70s
1005,1,77,2,35120,2021-02-16 22:18:10.909090908,Tuesday,20,20,32913.0,31907.700000000004,28.799999999999997,22.679999999999996,12,16,1777302.0,723666.6359999999,2021,2,1,70s
1005,1,77,2,11596,2021-02-19 15:08:00.648064804,Friday,20,20,31387.0,37305.4,32.4,30.659999999999997,16,16,2291251.0,1143783.564,2021,2,1,70s
1005,1,77,2,27749,2021-09-15 01:03:47.902790280,Wednesday,20,20,7013.0,52437.00000000001,60.0,28.559999999999995,14,18,476884.0,1497600.72,2021,9,3,70s
1006,1,54,9,14747,2020-01-11 00:02:52.817281728,Saturday,20,20,48717.0,24025.100000000002,18.0,18.2,20,7,1266642.0,437256.82,2020,1,1,50s
1006,1,54,9,24559,2020-03-12 14:53:01.998199820,Thursday,20,20,29643.0,40918.9,52.0,13.299999999999999,6,4,563217.0,544221.37,2020,3,1,50s
1006,1,54,9,39293,2020-07-11 10:44:01.944194418,Saturday,20,20,10213.0,7054.3,13.0,42.0,11,14,612780.0,296280.60000000003,2020,7,3,50s
1006,1,54,9,21179,2020-08-01 09:36:29.378937892,Saturday,20,20,45199.0,24406.800000000003,59.0,18.9,18,11,1220373.0,461288.52,2020,8,3,50s
1006,1,54,9,44077,2020-12-23 00:08:12.529252924,Wednesday,20,20,37609.0,35756.600000000006,38.0,60.199999999999996,7,10,3234374.0,2152547.3200000003,2020,12,4,50s
1006,1,54,9,21699,2021-05-21 16:05:45.634563456,Friday,20,20,48275.0,30665.800000000003,68.0,39.199999999999996,13,17,2703400.0,1202099.3599999999,2021,5,2,50s
1006,1,54,9,43548,2021-05-27 00:00:17.281728168,Thursday,20,20,2271.0,50215.00000000001,100.0,23.799999999999997,12,16,77214.0,1195117.0,2021,5,2,50s
1006,1,54,9,22587,2021-08-25 02:11:20.468046800,Wednesday,20,20,42885.0,30553.600000000002,31.0,35.699999999999996,11,16,2187135.0,1090763.52,2021,8,3,50s
1006,1,54,9,15614,2021-12-13 16:44:04.104410440,Monday,20,20,44030.0,44409.200000000004,66.0,48.3,7,3,3038070.0,2144964.36,2021,12,4,50s
1007,1,55,6,34484,2020-06-19 16:35:08.370837084,Friday,20,20,25209.0,5965.3,46.0,0.7,8,10,25209.0,4175.71,2020,6,2,50s
1007,1,55,6,34353,2020-09-09 23:17:13.663366336,Wednesday,20,20,22335.0,27239.300000000003,62.0,67.89999999999999,9,16,2166495.0,1849548.47,2020,9,3,50s
1007,1,55,6,38881,2020-11-01 19:51:43.150315032,Sunday,20,20,20612.0,15057.900000000001,26.0,40.599999999999994,23,5,1195496.0,611350.74,2020,11,4,50s
1007,1,55,6,34357,2021-01-28 13:58:35.751575156,Thursday,20,20,8862.0,12791.900000000001,60.0,17.5,23,19,221550.0,223858.25000000003,2021,1,1,50s
1007,1,55,6,31321,2021-03-05 03:17:09.342934296,Friday,20,20,33399.0,35273.700000000004,80.0,25.9,2,21,1235763.0,913588.8300000001,2021,3,1,50s
1007,1,55,6,35139,2021-06-04 21:46:12.637263728,Friday,20,20,21954.0,29465.7,80.0,11.2,5,8,351264.0,330015.83999999997,2021,6,2,50s
1007,1,55,6,39199,2021-06-14 11:18:18.469846984,Monday,20,20,48365.0,37024.9,95.0,67.19999999999999,24,18,4643040.0,2488073.28,2021,6,2,50s
1007,1,55,6,11898,2021-09-30 23:02:15.013501352,Thursday,20,20,15230.0,25543.100000000002,41.0,19.599999999999998,21,20,426440.0,500644.76,2021,9,3,50s
1007,1,55,6,28714,2021-12-30 22:14:52.169216920,Thursday,20,20,43686.0,9604.1,5.0,25.9,9,23,1616382.0,248746.19,2021,12,4,50s
1008,1,64,3,41443,2020-03-24 19:29:49.738973897,Tuesday,20,20,36151.0,44827.200000000004,5.0,46.199999999999996,10,24,2385966.0,2071016.64,2020,3,1,60s
1008,1,64,3,39470,2020-03-27 10:34:31.647164716,Friday,20,20,35985.0,43378.5,12.0,18.2,11,19,935610.0,789488.7,2020,3,1,60s
1008,1,64,3,28320,2020-07-23 17:05:57.515751574,Thursday,20,20,8916.0,50068.700000000004,5.0,11.2,14,21,142656.0,560769.4400000001,2020,7,3,60s
1008,1,64,3,11889,2020-09-04 06:37:02.862286228,Friday,20,20,12558.0,10718.400000000001,7.0,51.8,22,16,929292.0,555213.12,2020,9,3,60s
1008,1,64,3,10953,2020-11-07 00:15:59.135913592,Saturday,20,20,3027.0,37698.100000000006,79.0,8.399999999999999,23,23,36324.0,316664.04,2020,11,4,60s
1008,1,64,3,19406,2021-01-29 23:16:04.536453644,Friday,20,20,48438.0,54898.8,71.0,52.5,23,6,3632850.0,2882187.0,2021,1,1,60s
1008,1,64,3,37378,2021-03-05 15:33:04.158415840,Friday,20,20,49183.0,46411.200000000004,71.0,50.4,6,12,3541176.0,2339124.48,2021,3,1,60s
1008,1,64,3,31706,2021-08-12 05:48:22.250225024,Thursday,20,20,25965.0,43872.4,73.0,44.8,17,3,1661760.0,1965483.52,2021,8,3,60s
1008,1,64,3,10579,2021-10-21 21:54:42.448244824,Thursday,20,20,41534.0,38343.8,76.0,11.899999999999999,23,12,706078.0,456291.22,2021,10,4,60s
1008,1,64,3,13607,2021-12-26 18:22:25.814581456,Sunday,20,20,37691.0,37251.5,48.0,42.0,5,16,2261460.0,1564563.0,2021,12,4,60s
1009,1,10,1,12076,2020-01-08 12:28:26.570657065,Wednesday,30,30,39525.0,28318.4,21.9,18.689999999999998,17,21,3517725.0,529270.896,2020,1,1,10s
1009,1,10,1,26743,2020-02-11 19:59:47.038703870,Tuesday,30,30,48298.0,44047.3,19.2,5.039999999999999,9,7,1159152.0,221998.39199999996,2020,2,1,10s
1009,1,10,1,11570,2020-05-03 09:10:34.023402340,Sunday,30,30,41622.0,43547.9,16.5,3.36,19,3,665952.0,146320.944,2020,5,2,10s
1009,1,10,1,39909,2020-06-03 13:21:17.767776778,Wednesday,30,30,45416.0,44602.8,20.4,17.639999999999997,23,12,3814944.0,786793.3919999999,2020,6,2,10s
1009,1,10,1,42288,2020-08-26 22:52:10.153015300,Wednesday,30,30,31185.0,43893.3,26.4,20.369999999999997,19,24,3024945.0,894106.521,2020,8,3,10s
1009,1,10,1,36474,2020-10-10 22:12:33.915391540,Saturday,30,30,44858.0,14103.1,24.9,10.92,20,9,2332616.0,154005.852,2020,10,4,10s
1009,1,10,1,30977,2020-11-01 00:35:17.011701168,Sunday,30,30,34356.0,28012.600000000002,12.299999999999999,1.8899999999999997,8,14,309204.0,52943.814,2020,11,4,10s
1009,1,10,1,42351,2020-12-03 05:17:50.387038704,Thursday,30,30,41567.0,28310.7,17.7,6.93,8,3,1371711.0,196193.15099999998,2020,12,4,10s
1009,1,10,1,20009,2020-12-31 20:09:00.054005400,Thursday,30,30,4294.0,6826.6,4.2,21.0,3,24,429400.0,143358.6,2020,12,4,10s
1009,1,10,1,46378,2021-03-04 18:31:30.189018904,Thursday,30,30,33162.0,33631.4,1.2,8.61,24,9,1359642.0,289566.354,2021,3,1,10s
1009,1,10,1,42994,2021-03-26 10:55:15.931593160,Friday,30,30,20653.0,41555.8,1.2,3.5699999999999994,17,4,351101.0,148354.20599999998,2021,3,1,10s
1009,1,10,1,45379,2021-06-16 17:37:21.224122408,Wednesday,30,30,8869.0,37909.3,29.7,1.47,23,18,62083.0,55726.671,2021,6,2,10s
1009,1,10,1,34066,2021-11-02 12:30:27.542754272,Tuesday,30,30,27886.0,33624.8,16.5,10.92,7,6,1450072.0,367182.81600000005,2021,11,4,10s
1009,1,10,1,18476,2021-11-25 10:41:26.408640864,Thursday,30,30,38690.0,42499.600000000006,16.2,14.279999999999998,6,23,2630920.0,606894.288,2021,11,4,10s
1009,1,10,1,14792,2021-12-10 09:53:11.719171912,Friday,30,30,45773.0,21508.300000000003,29.4,0.42,3,18,91546.0,9033.486,2021,12,4,10s
1009,1,10,1,42713,2021-12-24 12:03:23.060306032,Friday,30,30,6139.0,15464.900000000001,10.799999999999999,14.7,4,6,429730.0,227334.03,2021,12,4,10s
1010,1,20,6,31994,2020-04-04 18:19:24.356435643,Saturday,30,30,28847.0,26978.600000000002,14.0,56.699999999999996,23,7,2336607.0,1529686.62,2020,4,2,20s
1010,1,20,6,45582,2020-04-14 11:21:45.850585058,Tuesday,30,30,15384.0,1213.3000000000002,61.0,49.699999999999996,14,6,1092264.0,60301.01,2020,4,2,20s
1010,1,20,6,38641,2020-05-21 23:58:50.873087308,Thursday,30,30,4811.0,10630.400000000001,58.0,60.9,21,11,418557.0,647391.3600000001,2020,5,2,20s
1010,1,20,6,27347,2020-07-05 00:32:32.835283528,Sunday,30,30,7181.0,47063.50000000001,29.0,5.6,18,5,57448.0,263555.60000000003,2020,7,3,20s
1010,1,20,6,30508,2020-09-23 11:26:22.358235824,Wednesday,30,30,2606.0,27183.2,1.0,54.599999999999994,15,14,203268.0,1484202.72,2020,9,3,20s
1010,1,20,6,49846,2020-10-16 04:21:57.731773176,Friday,30,30,42716.0,6187.500000000001,19.0,39.9,22,20,2434812.0,246881.25000000003,2020,10,4,20s
1010,1,20,6,27896,2020-10-30 06:32:09.072907288,Friday,30,30,20958.0,10231.1,45.0,5.6,16,9,167664.0,57294.159999999996,2020,10,4,20s
1010,1,20,6,46651,2020-12-15 20:25:25.112511252,Tuesday,30,30,33558.0,13107.6,25.0,11.899999999999999,9,6,570486.0,155980.43999999997,2020,12,4,20s
1010,1,20,6,26127,2021-01-08 01:36:55.301530152,Friday,30,30,42083.0,27478.000000000004,57.0,53.9,4,13,3240391.0,1481064.2000000002,2021,1,1,20s
1010,1,20,6,26015,2021-01-22 03:47:06.642664264,Friday,30,30,15323.0,46288.00000000001,47.0,16.099999999999998,2,17,352429.0,745236.8,2021,1,1,20s
1010,1,20,6,11536,2021-07-08 22:17:01.782178216,Thursday,30,30,45934.0,26770.7,19.0,38.5,17,17,2526370.0,1030671.9500000001,2021,7,3,20s
1011,1,77,2,28457,2020-01-08 01:57:39.585958595,Wednesday,20,20,10047.0,5531.900000000001,43.8,18.479999999999997,10,17,442068.0,102229.51199999999,2020,1,1,70s
1011,1,77,2,14062,2020-01-10 13:32:05.832583258,Friday,20,20,12133.0,27781.600000000002,1.7999999999999998,4.199999999999999,24,24,121330.0,116682.71999999999,2020,1,1,70s
1011,1,77,2,24337,2020-04-25 10:11:20.468046804,Saturday,20,20,10975.0,21764.600000000002,10.2,23.52,16,13,614600.0,511903.39200000005,2020,4,2,70s
1011,1,77,2,41691,2020-08-07 09:17:11.503150316,Friday,20,20,20062.0,32334.500000000004,38.4,10.079999999999998,11,13,481488.0,325931.76,2020,8,3,70s
1011,1,77,2,13099,2020-08-25 03:03:54.383438344,Tuesday,20,20,49591.0,31867.000000000004,25.2,16.38,20,4,1934049.0,521981.46,2020,8,3,70s
1011,1,77,2,36178,2020-10-17 11:54:18.685868588,Saturday,20,20,7292.0,49979.600000000006,13.2,6.72,18,13,116672.0,335862.912,2020,10,4,70s
1011,1,77,2,34958,2020-10-31 03:33:43.042304228,Saturday,20,20,11446.0,9004.6,54.0,42.0,13,24,1144600.0,378193.2,2020,10,4,70s
1011,1,77,2,25839,2020-11-02 01:07:06.642664264,Monday,20,20,49221.0,16421.9,54.6,33.599999999999994,13,11,3937680.0,551775.84,2020,11,4,70s
1011,1,77,2,29709,2021-05-12 00:48:31.971197120,Wednesday,20,20,7406.0,14120.7,39.0,28.139999999999993,3,16,496202.0,397356.4979999999,2021,5,2,70s
1011,1,77,2,45782,2021-06-25 08:22:45.256525648,Friday,20,20,13437.0,53729.50000000001,20.4,31.499999999999996,15,13,1007775.0,1692479.25,2021,6,2,70s
1011,1,77,2,17656,2021-07-11 04:36:04.536453640,Sunday,20,20,10878.0,6546.1,24.599999999999998,39.48,5,8,1022532.0,258440.028,2021,7,3,70s
1011,1,77,2,36613,2021-07-13 03:54:35.967596760,Tuesday,20,20,48249.0,48241.600000000006,18.599999999999998,33.18,2,8,3811671.0,1600656.2880000002,2021,7,3,70s
1011,1,77,2,19714,2021-12-28 05:25:02.430243024,Tuesday,20,20,7883.0,8134.500000000001,21.599999999999998,6.3,14,24,118245.0,51247.350000000006,2021,12,4,70s
1012,0,16,1,23819,2020-01-27 12:02:22.574257425,Monday,30,30,37572.0,47355.00000000001,12.9,14.7,15,24,2630040.0,696118.5000000001,2020,1,1,10s
1012,0,16,1,27641,2020-05-24 18:33:48.442844284,Sunday,30,30,39373.0,42491.9,27.0,9.659999999999998,12,20,1811158.0,410471.75399999996,2020,5,2,10s
1012,0,16,1,18481,2020-08-28 11:39:54.599459944,Friday,30,30,2642.0,5417.5,13.799999999999999,5.88,10,14,73976.0,31854.899999999998,2020,8,3,10s
1012,0,16,1,22634,2020-09-23 09:41:14.527452744,Wednesday,30,30,7777.0,8367.7,8.1,17.639999999999997,4,22,653268.0,147606.22799999997,2020,9,3,10s
1012,0,16,1,48170,2020-11-27 00:21:44.770477048,Friday,30,30,32493.0,39229.3,24.0,9.45,14,10,1462185.0,370716.885,2020,11,4,10s
1012,0,16,1,44274,2021-06-09 19:09:57.299729968,Wednesday,30,30,29440.0,21786.600000000002,25.5,13.86,24,22,1943040.0,301962.276,2021,6,2,10s
1012,0,16,1,48225,2021-07-17 07:47:02.322232224,Saturday,30,30,22216.0,1900.8000000000002,2.6999999999999997,12.81,3,10,1355176.0,24349.248000000003,2021,7,3,10s
1012,0,16,1,27463,2021-09-26 01:38:30.351035104,Sunday,30,30,25988.0,52362.200000000004,28.5,15.749999999999998,4,8,1949100.0,824704.65,2021,9,3,10s
1012,0,16,1,41371,2021-10-06 20:57:49.306930688,Wednesday,30,30,45977.0,52746.100000000006,29.4,6.3,6,3,1379310.0,332300.43000000005,2021,10,4,10s
1012,0,16,1,23963,2021-10-13 15:54:57.569756976,Wednesday,30,30,46417.0,13575.1,2.1,20.58,10,2,4548866.0,279375.55799999996,2021,10,4,10s
1013,0,67,5,14425,2020-03-21 05:38:26.030603060,Saturday,20,20,42324.0,36901.700000000004,12.0,30.799999999999997,10,17,1862256.0,1136572.36,2020,3,1,60s
1013,0,67,5,35482,2020-07-15 19:51:51.791179118,Wednesday,20,20,43790.0,37105.200000000004,9.0,56.699999999999996,16,13,3546990.0,2103864.8400000003,2020,7,3,60s
1013,0,67,5,36205,2020-07-18 05:41:10.207020702,Saturday,20,20,20674.0,6117.1,96.0,60.9,24,23,1798638.0,372531.39,2020,7,3,60s
1013,0,67,5,10112,2020-11-07 16:02:09.612961296,Saturday,20,20,42839.0,31980.300000000003,77.0,12.6,11,17,771102.0,402951.78,2020,11,4,60s
1013,0,67,5,25188,2021-01-11 01:27:16.363636364,Monday,20,20,13774.0,18532.800000000003,41.0,58.099999999999994,4,10,1143242.0,1076755.6800000002,2021,1,1,60s
1013,0,67,5,48745,2021-03-12 03:29:41.098109808,Friday,20,20,9495.0,10490.7,49.0,56.699999999999996,18,7,769095.0,594822.69,2021,3,1,60s
1013,0,67,5,46432,2021-06-06 05:18:33.591359136,Sunday,20,20,48501.0,41803.3,21.0,29.4,9,14,2037042.0,1229017.02,2021,6,2,60s
1013,0,67,5,47919,2021-08-25 00:26:12.637263728,Wednesday,20,20,13641.0,30556.9,69.0,4.8999999999999995,20,20,95487.0,149728.81,2021,8,3,60s
1013,0,67,5,30883,2021-12-24 17:18:46.552655264,Friday,20,20,6482.0,22365.2,7.0,10.5,15,12,97230.0,234834.6,2021,12,4,60s
1014,1,80,2,33216,2020-03-21 12:38:57.353735373,Saturday,10,30,45141.0,13490.400000000001,11.899999999999999,65.8,12,16,537177.8999999999,887668.3200000001,2020,3,1,
1014,1,80,2,36612,2020-05-19 03:38:45.472547254,Tuesday,10,20,41279.0,26473.7,39.0,37.099999999999994,12,5,2187787.0,982174.2699999999,2020,5,2,
1014,1,80,2,32180,2020-06-16 13:14:31.647164716,Tuesday,20,30,17925.0,11770.000000000002,79.0,68.6,2,8,1756650.0,807422.0,2020,6,2,
1014,1,80,2,10677,2020-06-25 03:59:55.679567956,Thursday,20,20,29040.0,19774.7,30.0,31.499999999999996,4,1,1306800.0,622903.0499999999,2020,6,2,
1014,1,80,2,48575,2020-08-04 21:42:45.256525652,Tuesday,20,30,25043.0,10022.1,99.0,42.699999999999996,4,15,1527623.0,427943.67,2020,8,3,
1014,1,80,2,41476,2020-09-21 20:53:30.081008100,Monday,20,30,18166.0,4689.3,65.0,53.9,16,23,1398782.0,252753.27,2020,9,3,
1014,1,80,2,45570,2020-10-19 05:57:26.624662464,Monday,20,30,20010.0,8606.400000000001,71.0,62.99999999999999,18,19,1800900.0,542203.2000000001,2020,10,4,
1014,1,80,2,37062,2020-10-22 21:33:58.163816380,Thursday,10,30,38964.0,3179.0000000000005,45.0,45.5,19,5,2532660.0,144644.50000000003,2020,10,4,
1014,1,80,2,14857,2021-05-05 11:06:47.200720072,Wednesday,30,10,4584.0,41378.700000000004,31.0,61.599999999999994,22,12,403392.0,2548927.92,2021,5,2,
1014,1,80,2,48903,2021-05-28 12:48:01.728172816,Friday,20,20,20654.0,29317.2,64.0,49.699999999999996,13,1,1466434.0,1457064.8399999999,2021,5,2,
1014,1,80,2,17721,2021-05-29 23:50:38.343834384,Saturday,10,20,40298.0,34214.4,23.0,10.5,12,17,604470.0,359251.2,2021,5,2,
1014,1,80,2,33986,2021-05-31 19:38:54.113411336,Monday,10,20,41757.0,24107.600000000002,60.0,46.9,7,16,2797719.0,1130646.4400000002,2021,5,2,
1014,1,80,2,39282,2021-10-11 09:35:54.815481544,Monday,20,10,27247.0,54036.4,65.0,58.099999999999994,19,21,2261501.0,3139514.84,2021,10,4,
1015,0,29,2,19461,2020-01-08 00:12:31.755175517,Wednesday,10,10,30649.0,18510.800000000003,69.71999999999998,43.51199999999999,12,17,2136848.2799999993,805441.9296,2020,1,1,30s
1015,0,29,2,40469,2020-06-19 23:35:39.693969396,Friday,10,10,40673.0,18147.800000000003,108.0,65.52,9,12,3172494.0,1189043.8560000001,2020,6,2,30s
1015,0,29,2,21939,2020-12-24 14:41:04.806480648,Thursday,10,10,49515.0,49192.00000000001,66.0,28.559999999999995,1,17,1683510.0,1404923.52,2020,12,4,30s
1015,0,29,2,13502,2021-02-23 13:45:03.510351032,Tuesday,10,10,45351.0,43032.0,44.519999999999996,48.215999999999994,2,4,2019026.5199999998,2074830.9119999998,2021,2,1,30s
1015,0,29,2,20453,2021-03-15 10:20:33.483348336,Monday,10,10,16039.0,29334.800000000003,44.519999999999996,18.227999999999994,8,16,714056.2799999999,534714.7343999998,2021,3,1,30s
1015,0,29,2,40426,2021-05-05 12:51:55.031503152,Wednesday,10,10,28531.0,43774.5,31.2,52.07999999999999,8,24,1768922.0,2279775.9599999995,2021,5,2,30s
1015,0,29,2,36855,2021-05-10 19:01:18.847884784,Monday,10,10,14250.0,42282.9,64.8,27.72,11,20,470250.0,1172081.988,2021,5,2,30s
1015,0,29,2,23024,2021-06-06 03:33:25.760576056,Sunday,10,10,19540.0,19250.0,16.8,61.31999999999999,4,12,1426420.0,1180409.9999999998,2021,6,2,30s
1015,0,29,2,11733,2021-12-13 04:28:09.288928888,Monday,10,10,10835.0,24427.7,82.8,57.11999999999999,16,24,736780.0,1395310.2239999997,2021,12,4,30s
1016,0,44,1,49668,2020-01-02 05:47:13.123312331,Thursday,10,10,5529.0,24589.4,36.12,46.452,11,22,199707.47999999998,1142226.8088,2020,1,1,40s
1016,0,44,1,12127,2020-03-04 12:23:32.781278128,Wednesday,10,10,32779.0,14610.2,1.68,51.743999999999986,4,2,55068.72,755990.1887999998,2020,3,1,40s
1016,0,44,1,25314,2020-11-09 04:49:54.059405940,Monday,10,10,37210.0,38931.200000000004,76.8,2.5199999999999996,16,24,111630.0,98106.624,2020,11,4,40s
1016,0,44,1,17091,2021-03-12 22:46:07.236723672,Friday,10,10,42290.0,26461.600000000002,67.19999999999999,27.047999999999995,1,12,2841887.9999999995,715733.3568,2021,3,1,40s
1016,0,44,1,21551,2021-03-22 22:49:00.054005400,Monday,10,10,20688.0,1703.9,34.44,38.80799999999999,14,7,712494.72,66124.9512,2021,3,1,40s
1016,0,44,1,38670,2021-05-16 09:56:21.818181816,Sunday,10,10,36106.0,16134.800000000001,70.8,32.76,19,10,1408134.0,528576.048,2021,5,2,40s
1016,0,44,1,46232,2021-08-31 10:37:41.746174616,Tuesday,10,10,10048.0,47209.8,52.8,27.72,6,19,331584.0,1308655.656,2021,8,3,40s
1016,0,44,1,24157,2021-11-20 09:47:26.084608456,Saturday,10,10,1251.0,15175.6,40.8,53.76,2,21,80064.0,815840.2559999999,2021,11,4,40s
